Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
6290006f	jal	x0,100ea8	  x0=0x00000000
8c4ff0ef	jal	x1,1000a0	  x1=0x00100fe0
00054803	lbu	x16,0(x10)	 x10:0x001019a8 x16=0x00000048 PA:0x001019a8 store:0x00000000
06080663	beq	x16,x0,100110	 x16:0x00000048  x0:0x00000000
000207b7	lui	x15,0x20	 x15=0x00020000
0107a023	sw	x16,0(x15)	 x15:0x00020000 x16:0x00000048 PA:0x00020000 store:0x00000048 load:0x00000000
00154703	lbu	x14,1(x10)	 x10:0x001019a8 x14=0x00000065 PA:0x001019a9 store:0x00100fe0
04070e63	beq	x14,x0,100110	 x14:0x00000065  x0:0x00000000
00e7a023	sw	x14,0(x15)	 x15:0x00020000 x14:0x00000065 PA:0x00020000 store:0x00000065 load:0x00000000
00254283	lbu	x5,2(x10)	 x10:0x001019a8  x5=0x0000006c PA:0x001019aa store:0x00137fa0
04028863	beq	x5,x0,100110	  x5:0x0000006c  x0:0x00000000
0057a023	sw	x5,0(x15)	 x15:0x00020000  x5:0x0000006c PA:0x00020000 store:0x0000006c load:0x00000000
00354303	lbu	x6,3(x10)	 x10:0x001019a8  x6=0x0000006c PA:0x001019ab store:0x00000000
04030263	beq	x6,x0,100110	  x6:0x0000006c  x0:0x00000000
0067a023	sw	x6,0(x15)	 x15:0x00020000  x6:0x0000006c PA:0x00020000 store:0x0000006c load:0x00000000
00454383	lbu	x7,4(x10)	 x10:0x001019a8  x7=0x0000006f PA:0x001019ac store:0x00000000
02038c63	beq	x7,x0,100110	  x7:0x0000006f  x0:0x00000000
0077a023	sw	x7,0(x15)	 x15:0x00020000  x7:0x0000006f PA:0x00020000 store:0x0000006f load:0x00000000
00554583	lbu	x11,5(x10)	 x10:0x001019a8 x11=0x00000020 PA:0x001019ad store:0x0000006c
02058663	beq	x11,x0,100110	 x11:0x00000020  x0:0x00000000
00b7a023	sw	x11,0(x15)	 x15:0x00020000 x11:0x00000020 PA:0x00020000 store:0x00000020 load:0x00000000
00654603	lbu	x12,6(x10)	 x10:0x001019a8 x12=0x00000073 PA:0x001019ae store:0x0000006c
02060063	beq	x12,x0,100110	 x12:0x00000073  x0:0x00000000
